Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-19,24636.349609375,24638.80078125,24522.94921875,24572.650390625,243600,0.0,0.0
2024-08-20,24648.900390625,24734.30078125,24607.19921875,24698.849609375,238300,0.0,0.0
2024-08-21,24680.55078125,24787.94921875,24654.5,24770.19921875,257100,0.0,0.0
2024-08-22,24863.400390625,24867.349609375,24784.44921875,24811.5,220300,0.0,0.0
2024-08-23,24845.400390625,24858.400390625,24771.650390625,24823.150390625,206800,0.0,0.0
2024-08-26,24906.099609375,25043.80078125,24874.69921875,25010.599609375,210300,0.0,0.0
2024-08-27,25024.80078125,25073.099609375,24973.650390625,25017.75,223300,0.0,0.0
2024-08-28,25030.80078125,25129.599609375,24964.650390625,25052.349609375,220400,0.0,0.0
2024-08-29,25035.30078125,25192.900390625,24998.5,25151.94921875,354000,0.0,0.0
2024-08-30,25249.69921875,25268.349609375,25199.400390625,25235.900390625,638200,0.0,0.0
2024-09-02,25333.599609375,25333.650390625,25235.5,25278.69921875,222800,0.0,0.0
2024-09-03,25313.400390625,25321.69921875,25235.80078125,25279.849609375,212100,0.0,0.0
2024-09-04,25089.94921875,25216.0,25083.80078125,25198.69921875,253800,0.0,0.0
2024-09-05,25250.5,25275.44921875,25127.75,25145.099609375,222200,0.0,0.0
2024-09-06,25093.69921875,25168.75,24801.30078125,24852.150390625,311700,0.0,0.0
2024-09-09,24823.400390625,24957.5,24753.150390625,24936.400390625,254400,0.0,0.0
2024-09-10,24999.400390625,25130.5,24896.80078125,25041.099609375,251300,0.0,0.0
2024-09-11,25034.0,25113.69921875,24885.150390625,24918.44921875,279200,0.0,0.0
2024-09-12,25059.650390625,25433.349609375,24941.44921875,25388.900390625,380100,0.0,0.0
2024-09-13,25430.44921875,25430.5,25292.44921875,25356.5,250800,0.0,0.0
2024-09-16,25406.650390625,25445.69921875,25336.19921875,25383.75,168700,0.0,0.0
2024-09-17,25416.900390625,25441.650390625,25352.25,25418.55078125,216000,0.0,0.0
2024-09-18,25402.400390625,25482.19921875,25285.55078125,25377.55078125,215700,0.0,0.0
2024-09-19,25487.05078125,25611.94921875,25376.05078125,25415.80078125,314500,0.0,0.0
2024-09-20,25525.94921875,25849.25,25426.599609375,25790.94921875,533100,0.0,0.0
2024-09-23,25872.55078125,25956.0,25847.349609375,25939.05078125,209200,0.0,0.0
2024-09-24,25921.44921875,26011.55078125,25886.849609375,25940.400390625,384100,0.0,0.0
2024-09-25,25899.44921875,26032.80078125,25871.349609375,26004.150390625,278500,0.0,0.0
2024-09-26,26005.400390625,26250.900390625,25998.400390625,26216.05078125,370900,0.0,0.0
2024-09-27,26248.25,26277.349609375,26151.400390625,26178.94921875,490300,0.0,0.0
2024-09-30,26061.30078125,26134.69921875,25794.099609375,25810.849609375,343100,0.0,0.0
2024-10-01,25788.44921875,25907.599609375,25739.19921875,25796.900390625,247400,0.0,0.0
2024-10-03,25452.849609375,25639.44921875,25230.30078125,25250.099609375,423400,0.0,0.0
2024-10-04,25181.900390625,25485.05078125,24966.80078125,25014.599609375,374900,0.0,0.0
2024-10-07,25084.099609375,25143.0,24694.349609375,24795.75,374300,0.0,0.0
2024-10-08,24832.19921875,25044.0,24756.80078125,25013.150390625,333200,0.0,0.0
2024-10-09,25065.80078125,25234.05078125,24947.69921875,24981.94921875,290600,0.0,0.0
2024-10-10,25067.05078125,25134.05078125,24979.400390625,24998.44921875,261400,0.0,0.0
2024-10-11,24985.30078125,25028.650390625,24920.05078125,24964.25,210500,0.0,0.0
2024-10-14,25023.44921875,25159.75,25017.5,25127.94921875,206400,0.0,0.0
2024-10-15,25186.30078125,25212.05078125,25008.150390625,25057.349609375,257200,0.0,0.0
2024-10-16,25008.55078125,25093.400390625,24908.44921875,24971.30078125,226800,0.0,0.0
2024-10-17,25027.400390625,25029.5,24728.900390625,24749.849609375,252800,0.0,0.0
