Symbol,Sector,Company_Name,Price,Price_Change_1d,Price_Change_3d,Price_Change_5d,Vol_Expansion,Turn_Expansion,Curr_Delivery,Avg_Delivery,Delivery_Change,RS_Score,Accumulation_Score,Market_Cap,Is_SME,Bucket,Dist_From_High,High_52w
HAPPYFORGE,,,1465.0,0.763462095023412,9.598268385933977,9.993240719737328,6.512587347642014,6.850329732679478,94.69,62.778,31.912,89.92,98.488,13826.4854528,False,BUCKET A,0.0,1465.0
INDUSINDBK,,IndusInd Bank Limited,947.4500122070312,0.9267656145972037,2.3164160050789686,3.2811944647262767,3.4312878301358567,3.501287081909288,67.41,46.39,21.019999999999996,57.81333333333334,93.672,73818.9312,False,BUCKET A,1.7779352905839305,964.5999755859376
CRAFTSMAN,,Craftsman Automation Limited,9806.5,3.2263157894736842,5.152262491957967,9.969161760583123,2.9059759457345313,3.0508275413721813,63.88,50.954,12.926000000000002,89.81333333333333,92.81575945734531,25648.3442688,False,BUCKET B,0.0,9806.5
PAGEIND,,Page Industries Limited,39975.0,-0.5102040816326531,2.329450915141431,3.4951456310679614,4.69183616606297,4.750006561135124,71.88,53.952,17.927999999999997,59.41333333333333,92.53066666666666,44587.6109312,False,Neutral / Other,17.992916375308702,48745.7890625
UCAL,,UCAL Limited,106.0500030517578,4.709719915040108,4.451890403629753,5.997001316327881,3.1168120136091666,3.3004085779484145,82.02,68.236,13.783999999999992,76.32,92.30399999999999,234.5149952,False,Neutral / Other,33.23469812592786,158.83999633789062
BLACKBUCK,,BlackBuck Limited,574.0499877929688,4.3063529133073395,3.9286708004307767,5.060388386431161,4.057064798674846,4.244141198814506,66.95,53.034000000000006,13.915999999999997,71.09333333333333,91.608,10452.164608,False,Neutral / Other,21.738242973010397,733.5
MADHUSUDAN,,,177.75,18.5,26.55749651992046,22.54394778369907,11.764705882352942,14.563330494178377,93.13,86.262,6.867999999999995,98.98666666666666,91.09333333333333,209.0445056,True,BUCKET B,0.0,177.75
PATINTLOG,,Patel Integrated Logistics Limited,14.850000381469728,3.9916012546026765,7.921512605065327,13.27231708893491,3.7923454417488056,4.030963467609448,84.19,76.342,7.847999999999999,94.45333333333333,91.06666666666666,103.3348352,False,Neutral / Other,16.382889034115706,17.759523391723633
ABCAPITAL,,Aditya Birla Capital Limited,375.8999938964844,1.4301100123264334,0.5617994039846432,4.9706750878477575,3.935220927985383,4.0167437589687225,64.87,52.952,11.918000000000006,70.61333333333333,90.20400000000001,98555.461632,False,BUCKET B,0.0,375.8999938964844
SUDARCOLOR,,Sudarshan Colorants India Limited,362.6499938964844,-1.9467384313131715,1.7822077802610963,1.6823216326036068,5.011009018927044,5.016737329990599,93.04,75.214,17.826000000000008,42.45333333333333,89.91866666666667,837.061376,False,Neutral / Other,39.59860440538809,600.4000244140625
MAHLIFE,,Mahindra Lifespace Developers Limited,352.3500061035156,0.6283056533999668,2.7858864208345686,7.27660009384306,3.694753095468449,3.80791720896081,65.93,57.488,8.442000000000007,82.34666666666666,89.64666666666668,7517.130752,False,Neutral / Other,16.445341260618385,421.7000122070313
INFINIUM,,,209.8000030517578,1.5488852147656031,4.926234685597588,9.814184611617302,4.375,4.625978058143462,97.14,90.38,6.760000000000005,89.44,89.58933333333334,347.425664,True,BUCKET B,1.8938522030237306,213.85000610351562
PNCINFRA,,PNC Infratech Limited,226.00999450683597,4.243345349310246,9.109778494153328,12.09701417534123,3.193873198263837,3.4461624567072198,58.78,52.95,5.829999999999998,93.22666666666667,89.53733333333332,5798.0416,False,Neutral / Other,29.078267822855945,318.6752319335937
RALLIS,,Rallis India Limited,229.77999877929688,0.5865856783267753,0.18311744324538887,0.4414890448806745,3.12670675187572,3.1399288817824353,79.21,56.962,22.24799999999999,29.599999999999998,89.44,4468.5062144,False,Neutral / Other,38.92556515966616,376.22943115234375
SCHAEFFLER,,Schaeffler India Limited,4329.89990234375,3.4376469742892977,4.009125686854432,6.760853970290535,4.233537514136851,4.444320299449278,57.81,49.251999999999995,8.558000000000007,80.10666666666667,89.38800000000002,67677.9196416,False,BUCKET B,0.5763512665040184,4355.0
EMAMILTD,,Emami Limited,413.5,3.2846243776712405,3.336250482854978,5.808601053246913,5.501968923044453,5.731420491528048,62.51,53.104,9.405999999999999,75.36,89.24133333333333,18049.2746752,False,Neutral / Other,32.697527382300365,614.3905029296875
AADHARHFC,,,515.0999755859375,5.889600711267508,6.206180533182989,8.751183832699883,7.796966357747931,8.30273212201999,69.63,63.367999999999995,6.2620000000000005,87.03999999999999,88.89733333333334,22527.2332288,False,BUCKET B,4.5846070425653105,539.8499755859375
SONUINFRA,,,46.20000076293945,5.000001733953303,5.841922446551854,7.192580971156462,5.689655172413793,6.027278217738691,100.0,93.0,7.0,82.02666666666667,88.63733333333333,78.6524032,True,BUCKET B,1.702126036299036,47.0
GVPTECH,,GVP Infotech Limited,6.840000152587891,3.4795766176664196,6.70827325135404,8.571427706417879,3.267853413779285,3.4561354120662418,79.55,73.638,5.911999999999992,86.56,88.592,112.777088,False,Neutral / Other,38.605123358825146,11.140995025634766
AKIKO,,,282.95001220703125,4.815706394571297,4.4867152739133065,9.670547367066376,4.027777777777778,4.362055797571065,98.28,93.604,4.676000000000002,89.33333333333333,88.184,82.6566784,True,BUCKET B,0.0,282.95001220703125
CANTABIL,,Cantabil Retail India Limited,227.19000244140625,-0.8985812687431843,3.1041507367498657,4.676561679529846,5.993519714813337,6.055306225501579,66.31,56.996,9.314,68.47999999999999,88.148,1900.1726976,False,Neutral / Other,26.75336875615672,310.1712646484375
