Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
VARDHACRLC,89,STRICT_VCP,Grade A,3,T1: 11.1% | T2: 9.6% | T3: 5.5%,17.8%,45.9900016784668,44.0,-4.33%,STRICT READY,45.9900016784668,43.459999084472656,2.5300025939941406,3952,0.0,PENDING_BREAKOUT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,45.99,43.46,51.05,54.85
NRBBEARING,76,STRICT_VCP,Grade B,3,T1: 10.4% | T2: 9.5% | T3: 9.4%,28.1%,443.4500122070313,424.1000061035156,-4.36%,STRICT READY,443.4500122070313,407.9740112304688,35.47600097656249,281,0.0,PENDING_BREAKOUT,EMA_PULLBACK,438.95,420.10,476.65,504.93
DHAMPURSUG,75,STRICT_VCP,Grade A,4,T1: 18.1% | T2: 7.6% | T3: 6.9% | T4: 5.3%,18.8%,142.99000549316406,146.1199951171875,2.19%,POST-BREAKOUT,142.99000549316406,135.39999389648438,7.5900115966796875,1317,0.0,BREAKOUT_WITHOUT_VOLUME,HIGH RISK ENTRY - Wait for Pullback or Tight Range,142.99,135.40,158.17,169.56
ATGL,69,STRICT_VCP,Grade B,2,T1: 19.7% | T2: 5.9%,35.2%,742.2999877929688,721.0,-2.87%,STRICT READY,742.2999877929688,698.2000122070312,44.0999755859375,226,0.0,PENDING_BREAKOUT,EMA_PULLBACK,750.00,710.43,829.14,888.49
UFBL,65,STRICT_VCP,Grade B,3,T1: 25.1% | T2: 19.8% | T3: 15.5%,21.6%,728.4000244140625,727.0,-0.19%,STRICT READY,728.4000244140625,670.1280224609375,58.27200195312503,171,0.0,PENDING_BREAKOUT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,728.40,670.13,844.94,932.35
GREENPLY,61,STRICT_VCP,Grade A,3,T1: 13.9% | T2: 9.5% | T3: 6.1%,10.7%,307.7900085449219,317.0,2.99%,POST-BREAKOUT,307.7900085449219,289.0,18.790008544921875,532,0.0,BREAKOUT_WITHOUT_VOLUME,HIGH RISK ENTRY - Wait for Pullback or Tight Range,307.79,289.00,345.37,373.56
NIITLTD,61,STRICT_VCP,Grade B,3,T1: 19.8% | T2: 16.2% | T3: 14.2%,22.7%,110.0,99.08000183105467,-9.93%,DEVELOPING,110.0,101.2,8.799999999999997,1136,0.0,PENDING_BREAKOUT,EMA_PULLBACK,100.26,98.56,105.27,110.29
QUADFUTURE,57,STRICT_VCP,Grade B,2,T1: 17.7% | T2: 9.9%,28.8%,446.4500122070313,430.6000061035156,-3.55%,STRICT READY,446.4500122070313,410.7340112304688,35.7160009765625,279,0.0,PENDING_BREAKOUT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,446.45,410.73,517.88,571.46
IDEA,56,STRICT_VCP,Grade B,3,T1: 10.0% | T2: 9.8% | T3: 7.3%,42.1%,14.850000381469728,13.949999809265137,-6.06%,DEVELOPING,14.850000381469728,13.760000228881836,1.0900001525878924,9174,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,14.33,13.90,15.19,15.84
ELECTHERM,54,STRICT_VCP,Grade B,3,T1: 26.6% | T2: 23.0% | T3: 15.5%,15.3%,1231.0,1096.0,-10.97%,DEVELOPING,1231.0,1132.52,98.48000000000002,101,0.0,PENDING_BREAKOUT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,1231.00,1132.52,1427.96,1575.68
