Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
APOLLOPIPE,57,STRICT_VCP,Grade C,4,T1: 16.3% | T2: 14.1% | T3: 14.3% | T4: 15.8%,24.8%,554.0,506.5,-8.57%,DEVELOPING,554.0,509.68,44.32,225,0.0,PENDING_BREAKOUT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,554.00,509.68,642.64,709.12
INDSWFTLAB,47,STRICT_VCP,Grade C,2,T1: 18.8% | T2: 12.6%,36.6%,148.0,161.84,9.35%,POST-BREAKOUT,148.0,136.16,11.84,844,1.17,ACTIVE,HIGH RISK ENTRY - Wait for Pullback or Tight Range,148.00,136.16,171.68,189.44
SKYGOLD,46,STRICT_VCP,Grade C,2,T1: 23.3% | T2: 17.2%,48.2%,590.0,533.65,-9.55%,DEVELOPING,590.0,542.8,47.2,211,0.0,PENDING_BREAKOUT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,590.00,542.80,684.40,755.20
BAJAJCON,58,FLEX_VCP,Grade B,3,T1: 11.0% | T2: 10.5% | T3: 5.9%,33.0%,581.0,592.4,1.96%,POST-BREAKOUT,581.0,546.55,34.45,290,0.0,BREAKOUT_WITHOUT_VOLUME,HIGH RISK ENTRY - Wait for Pullback or Tight Range,581.00,546.55,649.90,701.58
MWL,58,FLEX_VCP,Grade C,4,T1: 3.7% | T2: 5.8% | T3: 8.1% | T4: 6.6%,33.6%,377.0,377.0,0.00%,FLEX READY,382.1,373.0,24.9,401,0.0,PENDING_BREAKOUT,EMA_PULLBACK,382.10,373.00,401.21,420.31
CUPID,55,FLEX_VCP,Grade B,3,T1: 13.0% | T2: 11.3% | T3: 5.2%,66.2%,131.5,164.83,25.35%,POST-BREAKOUT,131.5,124.7,6.8,735,4.38,PARTIAL_EXIT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,131.50,124.70,145.10,155.30
AEROFLEX,44,FLEX_VCP,Grade C,3,T1: 24.7% | T2: 11.2% | T3: 12.1%,68.7%,446.05,478.0,7.16%,POST-BREAKOUT,446.05,410.37,35.68,280,0.9,ACTIVE,HIGH RISK ENTRY - Wait for Pullback or Tight Range,446.05,410.37,517.41,570.93
TMB,64,MINI_VCP,Grade B,2,T1: 15.2% | T2: 4.8%,29.0%,698.43,774.2,10.85%,POST-BREAKOUT,698.43,665.09,33.35,299,2.27,ACTIVE,HIGH RISK ENTRY - Wait for Pullback or Tight Range,698.43,665.09,765.11,815.12
