Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
GOLDIAM,93,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,376.1499938964844,376.1499938964844,0.00%,STRICT READY,353.0,353.29990678684294,-0.29990678684293925,0,0.0,PENDING_BREAKOUT,EMA_PULLBACK,353.00,353.30,370.65,388.30
JINDRILL,91,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,615.8499755859375,615.8499755859375,0.00%,STRICT READY,601.6337255222376,585.2719801858491,16.36174533638848,415,0.0,PENDING_BREAKOUT,EMA_PULLBACK,601.63,585.27,634.36,661.80
MANALIPETC,64,STRICT_VCP,Grade B,2,T1: 15.1% | T2: 7.4%,45.1%,65.9000015258789,65.54000091552734,-0.55%,STRICT READY,65.9000015258789,61.0,4.900001525878906,2040,0.0,PENDING_BREAKOUT,EMA_PULLBACK,67.70,65.12,72.86,76.73
CARTRADE,54,STRICT_VCP,Grade C,2,T1: 20.1% | T2: 14.5%,25.4%,3081.5,2788.39990234375,-9.51%,DEVELOPING,3081.5,2834.98,246.51999999999998,40,0.0,PENDING_BREAKOUT,EMA_PULLBACK,2868.00,2763.50,3077.00,3233.75
NIITLTD,82,FLEX_VCP,Grade A,4,T1: 16.2% | T2: 13.0% | T3: 12.4% | T4: 11.8%,12.1%,101.8000030517578,98.08999633789062,-3.64%,FLEX READY,101.8000030517578,93.65600280761718,8.144000244140614,1227,0.0,PENDING_BREAKOUT,EMA_PULLBACK,100.45,95.95,109.44,116.19
HSCL,72,FLEX_VCP,Grade B,4,T1: 7.7% | T2: 8.4% | T3: 10.2% | T4: 6.0%,24.9%,781.9000244140625,761.0,-2.67%,FLEX READY,781.9000244140625,735.2000122070312,46.70001220703125,214,0.0,PENDING_BREAKOUT,EMA_PULLBACK,767.00,740.95,819.10,858.17
BASML,69,FLEX_VCP,Grade B,4,T1: 13.4% | T2: 15.2% | T3: 5.9% | T4: 5.9%,25.6%,27.68004642421833,27.100000381469727,-2.10%,FLEX READY,27.68004642421833,26.059999465942383,1.620046958275946,6172,0.0,PENDING_BREAKOUT,EMA_PULLBACK,27.74,26.55,30.12,31.91
ANANDRATHI,68,FLEX_VCP,Grade B,4,T1: 6.1% | T2: 5.4% | T3: 5.7% | T4: 5.6%,39.3%,2121.199951171875,2071.5,-2.34%,FLEX READY,2121.199951171875,2002.0999755859373,119.09997558593773,83,0.0,PENDING_BREAKOUT,EMA_PULLBACK,2052.60,2028.50,2155.23,2257.86
FEDERALBNK,68,FLEX_VCP,Grade B,4,T1: 3.4% | T2: 3.9% | T3: 2.1% | T4: 2.0%,36.5%,359.8999938964844,353.54998779296875,-1.76%,FLEX READY,359.8999938964844,352.8500061035156,7.04998779296875,694,0.0,PENDING_BREAKOUT,EMA_PULLBACK,361.95,351.60,382.65,398.18
MINDACORP,64,FLEX_VCP,Grade B,4,T1: 5.8% | T2: 4.8% | T3: 5.8% | T4: 5.5%,23.8%,687.9000244140625,716.9000244140625,4.22%,POST-BREAKOUT,687.9000244140625,650.0,37.9000244140625,263,0.0,BREAKOUT_WITHOUT_VOLUME,EMA_PULLBACK,735.00,715.00,775.00,808.50
BHEL,62,FLEX_VCP,Grade B,3,T1: 12.0% | T2: 9.9% | T3: 6.4%,41.0%,422.3999938964844,408.1499938964844,-3.37%,FLEX READY,422.3999938964844,395.5,26.899993896484375,371,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,414.80,404.95,435.54,456.28
SIS,61,FLEX_VCP,Grade B,3,T1: 16.3% | T2: 3.9% | T3: 5.5%,40.9%,444.9500122070313,435.8999938964844,-2.03%,FLEX READY,444.9500122070313,420.2999877929688,24.6500244140625,405,0.0,PENDING_BREAKOUT,EMA_PULLBACK,434.00,426.75,455.70,477.40
QUESS,61,FLEX_VCP,Grade B,4,T1: 5.5% | T2: 7.2% | T3: 6.3% | T4: 4.5%,26.4%,303.25,315.25,3.96%,POST-BREAKOUT,303.25,303.25,13.5,740,0.8888888888888888,ACTIVE,EMA_PULLBACK,327.85,308.45,366.65,395.75
KIRLOSENG,58,FLEX_VCP,Grade B,3,T1: 18.4% | T2: 17.1% | T3: 8.2%,50.5%,2293.151669589881,2248.89990234375,-1.93%,FLEX READY,2293.151669589881,2109.6995360226906,183.45213356719023,54,0.0,PENDING_BREAKOUT,EMA_PULLBACK,2300.50,2210.81,2479.89,2614.43
WOCKPHARMA,58,FLEX_VCP,Grade B,3,T1: 24.9% | T2: 15.5% | T3: 6.4%,29.9%,1950.0,1975.0,1.28%,POST-BREAKOUT,1950.0,1825.699951171875,124.300048828125,80,0.0,BREAKOUT_WITHOUT_VOLUME,EMA_PULLBACK,2054.00,1951.00,2260.00,2414.50
INOXINDIA,52,FLEX_VCP,Grade C,4,T1: 12.4% | T2: 9.5% | T3: 10.5% | T4: 12.0%,47.7%,2119.800048828125,1954.4000244140625,-7.80%,FLEX READY,2119.800048828125,1950.216044921875,169.58400390625002,58,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1973.30,1913.10,2093.70,2184.00
CYIENTDLM,51,FLEX_VCP,Grade C,3,T1: 9.7% | T2: 10.1% | T3: 11.2%,48.3%,734.9500122070312,662.5,-9.86%,FLEX READY,734.9500122070312,676.1540112304688,58.79600097656248,170,0.0,PENDING_BREAKOUT,EMA_PULLBACK,687.90,650.00,763.70,820.55
KMEW,32,FLEX_VCP,Grade C,4,T1: 13.0% | T2: 7.5% | T3: 7.3% | T4: 7.4%,38.0%,2494.39990234375,2519.199951171875,0.99%,POST-BREAKOUT,2494.39990234375,2310.39990234375,184.0,54,0.13478287406589673,ACTIVE,EMA_PULLBACK,2599.00,2423.50,2949.99,3213.24
MUNJALAU,86,MINI_VCP,Grade A,3,T1: 13.9% | T2: 10.5% | T3: 5.3%,17.1%,106.0999984741211,103.66000366210938,-2.30%,MINI READY,106.0999984741211,100.43000030517578,5.6699981689453125,1763,0.0,PENDING_BREAKOUT,EMA_PULLBACK,105.85,102.70,112.15,116.88
VARDHACRLC,62,MINI_VCP,Grade B,3,T1: 7.9% | T2: 5.2% | T3: 5.9%,25.6%,44.09999847412109,45.5099983215332,3.20%,POST-BREAKOUT,44.09999847412109,44.09999847412109,2.5999984741210866,3846,0.5423079518878405,ACTIVE,EMA_PULLBACK,46.50,44.50,50.50,53.50
MANGLMCEM,55,MINI_VCP,Grade B,2,T1: 7.4% | T2: 7.2%,30.9%,1023.4500122070312,941.1500244140624,-8.04%,DEVELOPING,1023.4500122070312,950.25,73.20001220703125,136,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,960.95,932.05,1018.75,1062.10
ASIANENE,37,MINI_VCP,Grade C,2,T1: 18.7% | T2: 11.9%,27.4%,387.5,391.6499938964844,1.07%,POST-BREAKOUT,387.5,356.5,31.0,322,0.1338707708543347,ACTIVE,EMA_PULLBACK,420.00,390.00,480.00,525.00
SANGAMIND,72,PULLBACK_EMA10,Grade A,1,PB: 3.1% Risk,17.1%,615.5,615.5,0.63%,PULLBACK READY,615.5,596.3272727481718,19.172727251828178,406,0.0,PENDING_BREAKOUT,EMA10 PULLBACK,615.50,596.33,653.85,682.60
KPRMILL,63,PULLBACK_EMA20,Grade A,1,PB: 3.2% Risk,26.3%,1086.0,1086.0,0.68%,PULLBACK READY,1086.0,1051.7077232983834,34.29227670161663,230,0.0,PENDING_BREAKOUT,EMA20 PULLBACK,1086.00,1051.71,1154.58,1206.02
JAGRAN,57,PULLBACK_EMA20,Grade A,1,PB: 3.0% Risk,39.2%,62.77999877929688,62.77999877929688,-0.55%,PULLBACK READY,62.77999877929688,60.896598815917976,1.8833999633789062,3982,0.0,PENDING_BREAKOUT,EMA20 PULLBACK,62.78,60.90,66.55,69.37
NPST,50,PULLBACK_EMA50,Grade A,1,PB: 3.2% Risk,45.9%,1511.0,1511.0,0.72%,PULLBACK READY,1511.0,1462.704339536825,48.295660463174954,165,0.0,PENDING_BREAKOUT,EMA50 PULLBACK,1511.00,1462.70,1607.59,1680.03
RSWM,46,PULLBACK_EMA20,Grade B,1,PB: 3.0% Risk,78.7%,213.38999938964844,213.38999938964844,-0.10%,PULLBACK READY,213.38999938964844,206.98829940795898,6.401699981689461,1171,0.0,PENDING_BREAKOUT,EMA20 PULLBACK,213.39,206.99,226.19,235.80
SKIPPER,46,PULLBACK_EMA50,Grade B,1,PB: 3.0% Risk,68.7%,526.5,526.5,0.02%,PULLBACK READY,526.5,510.705,15.795000000000016,474,0.0,PENDING_BREAKOUT,EMA50 PULLBACK,526.50,510.70,558.09,581.78
BANSWRAS,31,PULLBACK_EMA50,Grade C,1,PB: 3.0% Risk,85.8%,123.77999877929688,123.77999877929688,-1.43%,PULLBACK READY,123.77999877929688,120.06659881591797,3.7133999633789045,2019,0.0,PENDING_BREAKOUT,EMA50 PULLBACK,123.78,120.07,131.21,136.78
