Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
DHAMPURSUG,75,STRICT_VCP,Grade A,4,T1: 18.1% | T2: 7.6% | T3: 6.9% | T4: 5.3%,18.8%,142.99000549316406,144.63999938964844,1.15%,POST-BREAKOUT,142.99000549316406,135.39999389648438,7.5900115966796875,1317,0.0,BREAKOUT_WITHOUT_VOLUME,HIGH RISK ENTRY - Wait for Pullback or Tight Range,142.99,135.40,158.17,169.56
ATGL,74,STRICT_VCP,Grade B,2,T1: 19.7% | T2: 5.9%,27.2%,742.2999877929688,724.25,-2.43%,STRICT READY,742.2999877929688,698.2000122070312,44.0999755859375,226,0.0,PENDING_BREAKOUT,EMA_PULLBACK,739.00,717.10,782.80,815.65
MANINDS,67,STRICT_VCP,Grade B,2,T1: 20.8% | T2: 9.4%,23.4%,623.7000122070312,571.8499755859375,-8.31%,DEVELOPING,623.7000122070312,573.8040112304687,49.896000976562505,200,0.0,PENDING_BREAKOUT,EMA_PULLBACK,600.00,567.60,664.80,713.40
ATULAUTO,62,STRICT_VCP,Grade A,2,T1: 18.6% | T2: 5.5%,20.4%,483.5,503.25,4.08%,POST-BREAKOUT,483.5,457.0,26.5,377,0.7452830188679245,ACTIVE,HIGH RISK ENTRY - Wait for Pullback or Tight Range,483.50,457.00,536.50,576.25
KAJARIACER,62,STRICT_VCP,Grade B,3,T1: 15.8% | T2: 7.5% | T3: 5.8%,28.7%,1125.0,1215.5,8.04%,POST-BREAKOUT,1125.0,1060.0999755859375,64.9000244140625,154,1.394452480057781,ACTIVE,TIGHT_CHEAT_VCP,1224.60,1185.50,1302.80,1361.45
GREENPLY,61,STRICT_VCP,Grade A,3,T1: 13.9% | T2: 9.5% | T3: 6.1%,10.7%,307.7900085449219,318.3500061035156,3.43%,POST-BREAKOUT,307.7900085449219,289.0,18.790008544921875,532,0.0,BREAKOUT_WITHOUT_VOLUME,HIGH RISK ENTRY - Wait for Pullback or Tight Range,307.79,289.00,345.37,373.56
RPGLIFE,60,STRICT_VCP,Grade A,2,T1: 18.2% | T2: 8.2%,12.2%,2397.60009765625,2416.5,0.79%,POST-BREAKOUT,2397.60009765625,2205.79208984375,191.8080078124999,52,0.0,BREAKOUT_WITHOUT_VOLUME,HIGH RISK ENTRY - Wait for Pullback or Tight Range,2397.60,2205.79,2781.22,3068.93
JNKINDIA,49,STRICT_VCP,Grade C,3,T1: 19.5% | T2: 15.1% | T3: 11.5%,37.7%,519.0,511.25,-1.49%,STRICT READY,519.0,477.48,41.51999999999998,240,0.0,PENDING_BREAKOUT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,519.00,477.48,602.04,664.32
SATIN,49,STRICT_VCP,Grade B,3,T1: 16.4% | T2: 12.4% | T3: 7.2%,27.4%,244.47000122070312,257.2699890136719,5.24%,POST-BREAKOUT,244.47000122070312,226.75,17.720001220703125,564,0.0,BREAKOUT_WITHOUT_VOLUME,HIGH RISK ENTRY - Wait for Pullback or Tight Range,244.47,226.75,279.91,306.49
GUJTHEM,46,STRICT_VCP,Grade B,3,T1: 26.6% | T2: 18.3% | T3: 16.3%,23.5%,441.2000122070313,385.0,-12.74%,DEVELOPING,441.2000122070313,405.9040112304688,35.29600097656248,283,0.0,PENDING_BREAKOUT,HIGH RISK ENTRY - Wait for Pullback or Tight Range,441.20,405.90,511.79,564.74
DALMIASUG,46,STRICT_VCP,Grade B,3,T1: 20.2% | T2: 9.0% | T3: 8.4%,27.8%,350.4269276183052,374.8999938964844,6.98%,POST-BREAKOUT,350.4269276183052,322.3927734088408,28.03415420946442,356,0.8729732345524793,ACTIVE,HIGH RISK ENTRY - Wait for Pullback or Tight Range,350.43,322.39,406.50,448.55
