Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
GREENLAM,80,FLAG_SETUP,Grade B,1,T1: 5.7%,9.9%,262.6000061035156,260.20001220703125,-0.91%,FLAG READY,262.6000061035156,248.5,14.100006103515625,709,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,262.60,248.50,290.80,311.95
KSB,77,FLAG_SETUP,Grade A,1,T1: 3.9%,38.8%,947.4500122070312,936.0,-1.21%,FLAG READY,947.4500122070312,912.0,35.45001220703125,263,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,947.45,912.00,1018.35,1071.53
RADICO,74,FLAG_SETUP,Grade A,1,T1: 2.9%,83.1%,4161.7998046875,4099.0,-1.51%,FLAG READY,4161.7998046875,4045.89990234375,115.89990234375,60,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,4161.80,4045.90,4393.60,4577.98
SBC,73,FLAG_SETUP,Grade A,1,T1: 3.8%,43.1%,43.27000045776367,42.380001068115234,-2.06%,FLAG READY,43.27000045776367,41.70000076293945,1.5699996948242188,5777,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,43.27,41.70,46.41,48.76
GMRAIRPORT,73,FLAG_SETUP,Grade A,1,T1: 4.8%,75.2%,115.63999938964844,113.44000244140624,-1.90%,FLAG READY,115.63999938964844,110.30999755859376,5.330001831054673,1876,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,115.64,110.31,126.30,134.30
MEDANTA,72,FLAG_SETUP,Grade A,1,T1: 4.8%,47.4%,1358.0,1335.5999755859375,-1.65%,FLAG READY,1358.0,1295.9000244140625,62.0999755859375,161,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1358.00,1295.90,1482.20,1575.35
AIIL,70,FLAG_SETUP,Grade B,1,T1: 5.3%,9.6%,525.2000122070312,514.5,-2.04%,FLAG READY,525.2000122070312,499.0,26.20001220703125,381,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,525.20,499.00,577.60,616.90
SPLPETRO,69,FLAG_SETUP,Grade A,1,T1: 3.5%,30.8%,740.0,725.4500122070312,-1.97%,FLAG READY,740.0,715.0,25.0,337,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,740.00,715.00,790.00,827.50
INDHOTEL,68,FLAG_SETUP,Grade A,1,T1: 4.9%,78.9%,754.0,731.5999755859375,-2.97%,FLAG READY,754.0,718.5999755859375,35.4000244140625,282,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,754.00,718.60,824.80,877.90
REDINGTON,66,FLAG_SETUP,Grade B,1,T1: 6.2%,37.0%,283.0,274.75,-2.92%,FLAG READY,283.0,266.54998779296875,16.45001220703125,607,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,283.00,266.55,315.90,340.58
GARFIBRES,65,FLAG_SETUP,Grade B,1,T1: 6.4%,25.1%,740.7000122070312,732.25,-1.14%,FLAG READY,740.7000122070312,696.3499755859375,44.35003662109375,225,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,740.70,696.35,829.40,895.93
ICICIBANK,65,FLAG_SETUP,Grade A,1,T1: 3.1%,51.9%,1418.300048828125,1397.699951171875,-1.45%,FLAG READY,1418.300048828125,1375.9000244140625,42.4000244140625,176,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1418.30,1375.90,1503.10,1566.70
POLYMED,65,FLAG_SETUP,Grade B,1,T1: 5.2%,27.7%,1688.800048828125,1649.4000244140625,-2.33%,FLAG READY,1688.800048828125,1605.5999755859375,83.2000732421875,120,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1688.80,1605.60,1855.20,1980.00
IPCALAB,65,FLAG_SETUP,Grade B,1,T1: 6.3%,40.6%,1850.5,1839.0999755859373,-0.62%,FLAG READY,1850.5,1741.0,109.5,91,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1850.50,1741.00,2069.50,2233.75
NYKAA,64,FLAG_SETUP,Grade B,1,T1: 6.3%,96.6%,330.95001220703125,326.5,-1.34%,FLAG READY,330.95001220703125,311.3500061035156,19.600006103515625,510,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,330.95,311.35,370.15,399.55
J&KBANK,64,FLAG_SETUP,Grade B,1,T1: 5.5%,104.1%,171.0,168.41000366210938,-1.51%,FLAG READY,171.0,162.10000610351562,8.899993896484375,1123,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,171.00,162.10,188.80,202.15
AJANTPHARM,64,FLAG_SETUP,Grade B,1,T1: 5.7%,41.3%,3440.0,3426.699951171875,-0.39%,FLAG READY,3440.0,3254.800048828125,185.199951171875,53,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,3440.00,3254.80,3810.40,4088.20
ABSLAMC,63,FLAG_SETUP,Grade B,1,T1: 5.6%,58.7%,1177.5,1173.699951171875,-0.32%,FLAG READY,1177.5,1115.199951171875,62.300048828125,160,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1177.50,1115.20,1302.10,1395.55
PIXTRANS,63,FLAG_SETUP,Grade B,1,T1: 8.3%,19.3%,1859.5999755859373,1841.300048828125,-0.98%,FLAG READY,1859.5999755859373,1717.0999755859375,142.49999999999977,70,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1859.60,1717.10,2144.60,2358.35
ACUTAAS,62,FLAG_SETUP,Grade B,1,T1: 6.3%,67.2%,3575.39990234375,3491.39990234375,-2.35%,FLAG READY,3575.39990234375,3363.60009765625,211.7998046875,47,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,3575.40,3363.60,3999.00,4316.70
MAXHEALTH,62,FLAG_SETUP,Grade A,1,T1: 4.8%,58.8%,1132.0,1116.0999755859375,-1.40%,FLAG READY,1132.0,1080.0,52.0,192,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1132.00,1080.00,1236.00,1314.00
POWERMECH,61,FLAG_SETUP,Grade B,1,T1: 6.1%,34.8%,2679.0,2623.10009765625,-2.09%,FLAG READY,2679.0,2525.0,154.0,64,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,2679.00,2525.00,2987.00,3218.00
UFBL,60,FLAG_SETUP,Grade B,1,T1: 8.7%,21.6%,735.0,727.0,-1.09%,FLAG READY,735.0,676.2000122070312,58.79998779296875,170,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,735.00,676.20,852.60,940.80
MANGLMCEM,60,FLAG_SETUP,Grade B,1,T1: 5.3%,53.1%,967.0,960.0499877929688,-0.72%,FLAG READY,967.0,918.0,49.0,204,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,967.00,918.00,1065.00,1138.50
PGIL,58,FLAG_SETUP,Grade B,1,T1: 7.6%,23.9%,2045.0,2024.699951171875,-0.99%,FLAG READY,2045.0,1901.300048828125,143.699951171875,69,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,2045.00,1901.30,2332.40,2547.95
CHOLAFIN,58,FLAG_SETUP,Grade B,1,T1: 5.5%,58.1%,1851.300048828125,1810.9000244140625,-2.18%,FLAG READY,1851.300048828125,1755.300048828125,96.0,104,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1851.30,1755.30,2043.30,2187.30
MAYURUNIQ,58,FLAG_SETUP,Grade B,1,T1: 8.8%,28.5%,876.4500122070312,856.3499755859375,-2.29%,FLAG READY,876.4500122070312,806.3340112304688,70.11600097656242,142,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,876.45,806.33,1016.68,1121.86
ONWARDTEC,56,FLAG_SETUP,Grade B,1,T1: 9.0%,12.5%,298.6000061035156,295.6000061035156,-1.00%,FLAG READY,298.6000061035156,274.7120056152344,23.88800048828125,418,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,298.60,274.71,346.38,382.21
SHYAMCENT,55,FLAG_SETUP,Grade B,1,T1: 5.3%,46.8%,5.960000038146973,5.889999866485596,-1.17%,FLAG READY,5.960000038146973,5.659999847412109,0.3000001907348633,33333,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,5.96,5.66,6.56,7.01
RELAXO,54,FLAG_SETUP,Grade B,1,T1: 6.7%,15.4%,403.8500061035156,398.5499877929688,-1.31%,FLAG READY,403.8500061035156,378.6499938964844,25.20001220703125,396,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,403.85,378.65,454.25,492.05
PNBGILTS,54,FLAG_SETUP,Grade B,1,T1: 6.5%,13.6%,89.83999633789062,88.54000091552734,-1.45%,FLAG READY,89.83999633789062,84.31999969482422,5.519996643066406,1811,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,89.84,84.32,100.88,109.16
MENONBE,54,FLAG_SETUP,Grade C,1,T1: 11.4%,15.7%,180.0,176.5,-1.94%,FLAG READY,180.0,165.6,14.400000000000006,694,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,180.00,165.60,208.80,230.40
POONAWALLA,53,FLAG_SETUP,Grade B,1,T1: 5.9%,88.9%,481.5,479.0499877929688,-0.51%,FLAG READY,481.5,454.5499877929688,26.950012207031193,371,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,481.50,454.55,535.40,575.83
RITES,52,FLAG_SETUP,Grade B,1,T1: 5.2%,61.7%,230.97999572753903,224.1499938964844,-2.96%,FLAG READY,230.97999572753903,219.6000061035156,11.379989624023438,878,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,230.98,219.60,253.74,270.81
DEEPAKFERT,51,FLAG_SETUP,Grade B,1,T1: 6.7%,39.1%,1575.0999755859375,1528.9000244140625,-2.93%,FLAG READY,1575.0999755859375,1475.699951171875,99.4000244140625,100,0.0,PENDING_BREAKOUT,TIGHT BULL FLAG,1575.10,1475.70,1773.90,1923.00
