Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
JINDRILL,86,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,632.4500122070312,632.4500122070312,0.00%,STRICT READY,616.096920532602,596.7967088292555,19.300211703346463,405,0.0,PENDING_BREAKOUT,EMA_PULLBACK,616.10,596.80,654.70,683.65
GOLDIAM,85,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,357.04998779296875,357.04998779296875,0.00%,STRICT READY,353.0,358.73380197175743,-5.73380197175743,0,0.0,PENDING_BREAKOUT,EMA_PULLBACK,353.00,358.73,370.65,388.30
BHEL,72,STRICT_VCP,Grade B,3,T1: 12.0% | T2: 11.4% | T3: 4.4%,32.7%,418.7000122070313,415.5,-0.76%,STRICT READY,418.7000122070313,400.2000122070313,18.5,540,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,421.00,408.15,446.70,465.98
SAKAR,47,STRICT_VCP,Grade C,2,T1: 18.2% | T2: 15.1%,41.9%,980.0,901.4000244140624,-8.02%,DEVELOPING,980.0,901.6,78.39999999999998,127,0.0,PENDING_BREAKOUT,EMA_PULLBACK,920.00,883.81,992.39,1046.68
BHAGCHEM,86,FLEX_VCP,Grade A,3,T1: 16.8% | T2: 14.1% | T3: 7.6%,18.3%,297.79998779296875,286.6000061035156,-3.76%,FLEX READY,297.79998779296875,275.04998779296875,22.75,439,0.0,PENDING_BREAKOUT,EMA_PULLBACK,289.90,280.25,309.21,323.68
CRAFTSMAN,68,FLEX_VCP,Grade B,4,T1: 3.9% | T2: 4.4% | T3: 5.2% | T4: 4.8%,32.8%,10723.0,10539.0,-1.72%,FLEX READY,10723.0,10205.0,518.0,19,0.0,PENDING_BREAKOUT,EMA_PULLBACK,10594.00,10350.00,11123.70,11653.40
KPRMILL,66,FLEX_VCP,Grade B,4,T1: 11.5% | T2: 13.4% | T3: 5.3% | T4: 6.6%,23.6%,1152.800048828125,1136.0,-1.46%,FLEX READY,1152.800048828125,1077.0999755859375,75.7000732421875,132,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1125.00,1100.10,1181.25,1237.50
NAUKRI,66,FLEX_VCP,Grade B,4,T1: 4.4% | T2: 6.5% | T3: 3.6% | T4: 4.3%,38.2%,1391.0,1323.5,-4.85%,FLEX READY,1391.0,1331.0999755859375,59.9000244140625,166,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,1367.80,1322.00,1459.40,1528.10
ANANDRATHI,64,FLEX_VCP,Grade B,4,T1: 5.7% | T2: 5.6% | T3: 4.1% | T4: 3.8%,31.2%,2230.0,2179.39990234375,-2.27%,FLEX READY,2230.0,2145.10009765625,84.89990234375,112,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,2198.80,2151.30,2308.74,2418.68
STEELCAS,62,FLEX_VCP,Grade B,4,T1: 8.3% | T2: 7.9% | T3: 6.0% | T4: 6.0%,32.3%,345.03966981791604,343.6499938964844,-0.40%,FLEX READY,345.03966981791604,324.3500061035156,20.68966371440041,483,0.0,PENDING_BREAKOUT,EMA_PULLBACK,354.85,336.10,392.35,420.48
TBOTEK,59,FLEX_VCP,Grade B,4,T1: 6.9% | T2: 7.8% | T3: 5.1% | T4: 5.7%,30.8%,1685.0,1706.5,1.28%,POST-BREAKOUT,1685.0,1589.0,96.0,104,0.0,BREAKOUT_WITHOUT_VOLUME,EMA_PULLBACK,1737.90,1671.40,1870.90,1970.65
PPLPHARMA,58,FLEX_VCP,Grade C,4,T1: 8.1% | T2: 4.1% | T3: 5.7% | T4: 8.4%,36.1%,218.5,211.2899932861328,-3.30%,FLEX READY,218.5,201.02,17.47999999999999,572,0.0,PENDING_BREAKOUT,EMA_PULLBACK,211.98,206.40,223.14,233.18
ALIVUS,58,FLEX_VCP,Grade C,4,T1: 6.3% | T2: 6.3% | T3: 5.1% | T4: 6.0%,33.4%,1416.5999755859375,1360.800048828125,-3.94%,FLEX READY,1416.5999755859375,1331.0999755859375,85.5,116,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1370.00,1334.00,1442.00,1507.00
PDSL,58,FLEX_VCP,Grade C,3,T1: 18.3% | T2: 5.8% | T3: 7.8%,27.4%,389.0,369.1000061035156,-5.12%,FLEX READY,389.0,358.8500061035156,30.149993896484375,331,0.0,PENDING_BREAKOUT,EMA_PULLBACK,370.95,362.18,389.50,408.05
M&MFIN,57,FLEX_VCP,Grade C,4,T1: 6.4% | T2: 8.3% | T3: 5.6% | T4: 8.1%,35.0%,415.0,385.3500061035156,-7.14%,FLEX READY,415.0,381.8,33.19999999999999,301,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,389.40,377.05,414.10,432.63
