Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
GOLDIAM,92,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,365.6499938964844,365.6499938964844,0.00%,STRICT READY,353.0,359.45146615150713,-6.451466151507134,0,0.0,PENDING_BREAKOUT,EMA_PULLBACK,353.00,359.45,370.65,388.30
JINDRILL,86,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,588.0,588.0,0.00%,STRICT READY,600.7345926093126,587.3063754353308,13.428217173981807,416,0.0,PENDING_BREAKOUT,EMA_PULLBACK,600.73,587.31,630.77,660.81
CARTRADE,69,STRICT_VCP,Grade B,2,T1: 20.1% | T2: 14.5%,15.6%,3081.5,2797.800048828125,-9.21%,DEVELOPING,3081.5,2834.98,246.51999999999998,40,0.0,PENDING_BREAKOUT,EMA_PULLBACK,2768.90,2742.27,2907.34,3045.79
NIACL,83,FLEX_VCP,Grade A,4,T1: 18.8% | T2: 8.5% | T3: 9.6% | T4: 7.7%,14.0%,189.3699951171875,179.0800018310547,-5.43%,FLEX READY,189.3699951171875,174.8000030517578,14.569992065429688,686,0.0,PENDING_BREAKOUT,EMA_PULLBACK,183.78,176.60,198.14,208.91
GUFICBIO,78,FLEX_VCP,Grade A,4,T1: 17.0% | T2: 7.1% | T3: 9.1% | T4: 4.2%,14.6%,394.3999938964844,422.2000122070313,7.05%,POST-BREAKOUT,394.3999938964844,377.7000122070313,16.699981689453068,598,0.0,BREAKOUT_WITHOUT_VOLUME,EMA_PULLBACK,432.25,415.10,466.55,492.27
INDIGO,68,FLEX_VCP,Grade B,4,T1: 5.6% | T2: 8.2% | T3: 3.1% | T4: 5.3%,28.3%,5508.0,5310.0,-3.59%,FLEX READY,5508.0,5217.5,290.5,34,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,5370.00,5217.50,5675.00,5907.00
SUPRAJIT,63,FLEX_VCP,Grade B,3,T1: 8.2% | T2: 7.6% | T3: 7.0%,26.6%,502.0,524.5999755859375,4.50%,POST-BREAKOUT,502.0,502.0,35.0,285,0.6457135881696429,ACTIVE,EMA_PULLBACK,530.70,520.30,557.24,583.77
HOMEFIRST,62,FLEX_VCP,Grade B,4,T1: 8.5% | T2: 10.1% | T3: 6.2% | T4: 5.2%,38.1%,1220.0,1176.5,-3.57%,FLEX READY,1220.0,1156.0,64.0,156,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,1196.40,1162.80,1263.60,1316.04
KARURVYSYA,62,FLEX_VCP,Grade C,4,T1: 4.4% | T2: 5.1% | T3: 4.0% | T4: 6.1%,27.9%,351.79998779296875,331.75,-5.70%,FLEX READY,351.79998779296875,330.25,21.54998779296875,464,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,340.00,330.25,359.50,374.12
MOLDTKPAC,61,FLEX_VCP,Grade B,3,T1: 11.8% | T2: 13.9% | T3: 4.5%,36.4%,702.9000244140625,694.4000244140625,-1.21%,FLEX READY,702.9000244140625,671.0,31.9000244140625,313,0.0,PENDING_BREAKOUT,EMA_PULLBACK,695.90,679.36,730.70,765.49
SSWL,58,FLEX_VCP,Grade C,3,T1: 8.3% | T2: 8.8% | T3: 7.4%,38.5%,328.3999938964844,312.8999938964844,-4.72%,FLEX READY,328.3999938964844,304.1000061035156,24.29998779296875,411,0.0,PENDING_BREAKOUT,EMA_PULLBACK,316.95,308.70,333.45,348.65
INOXINDIA,57,FLEX_VCP,Grade C,4,T1: 9.5% | T2: 10.5% | T3: 12.0% | T4: 7.9%,32.1%,1980.0,1943.0,-1.87%,FLEX READY,1980.0,1824.0,156.0,64,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1947.00,1918.20,2044.35,2141.70
LLOYDSENGG,53,FLEX_VCP,Grade C,4,T1: 9.9% | T2: 8.7% | T3: 5.6% | T4: 8.2%,53.2%,93.73221166777348,93.52999877929688,-0.22%,FLEX READY,93.73221166777348,86.23363473435161,7.498576933421873,1333,0.0,PENDING_BREAKOUT,EMA_PULLBACK,93.19,90.75,98.08,102.51
RML,49,FLEX_VCP,Grade C,2,T1: 17.2% | T2: 17.7%,31.8%,1250.0,1113.5,-10.92%,DEVELOPING,1250.0,1150.0,100.0,100,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1138.90,1107.96,1200.78,1252.79
NRBBEARING,48,FLEX_VCP,Grade C,4,T1: 9.4% | T2: 11.2% | T3: 13.7% | T4: 6.1%,33.5%,434.7999877929688,458.8999938964844,5.54%,POST-BREAKOUT,434.7999877929688,434.7999877929688,26.5,377,0.9094341925854924,ACTIVE,EMA_PULLBACK,469.85,445.25,519.05,555.95
NSLNISP,45,FLEX_VCP,Grade C,4,T1: 15.8% | T2: 13.7% | T3: 6.5% | T4: 8.1%,29.4%,44.2400016784668,44.5,0.59%,POST-BREAKOUT,44.2400016784668,40.70080154418945,3.539200134277344,2825,0.0734624524380821,ACTIVE,EMA_PULLBACK,45.48,43.70,49.04,51.71
SHAREINDIA,73,MINI_VCP,Grade B,2,T1: 12.8% | T2: 13.6%,9.4%,196.79549498357247,174.47000122070312,-11.34%,DEVELOPING,196.79549498357247,181.05185538488666,15.743639598685803,635,0.0,PENDING_BREAKOUT,EMA_PULLBACK,175.00,170.81,183.75,192.50
IKIO,67,MINI_VCP,Grade A,3,T1: 15.3% | T2: 7.5% | T3: 7.2%,15.4%,208.0,204.97000122070312,-1.46%,MINI READY,208.0,193.0,15.0,666,0.0,PENDING_BREAKOUT,EMA_PULLBACK,218.00,202.77,248.46,271.30
KIRLOSBROS,60,MINI_VCP,Grade C,4,T1: 8.7% | T2: 6.5% | T3: 5.9% | T4: 6.0%,26.7%,1993.0,1905.5,-4.39%,MINI READY,1993.0,1873.0999755859373,119.90002441406273,83,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1950.30,1894.20,2062.50,2146.65
RELAXO,65,PULLBACK_EMA50,Grade A,1,PB: 4.3% Risk,18.9%,396.25,396.25,1.91%,PULLBACK READY,396.25,379.0847373955087,17.165262604491318,582,0.0,PENDING_BREAKOUT,EMA50 PULLBACK,396.25,379.08,430.58,456.33
MWL,58,PULLBACK_EMA10,Grade A,1,PB: 3.6% Risk,41.8%,41.27999877929688,41.27999877929688,1.12%,PULLBACK READY,41.27999877929688,39.8021008946233,1.477897884673581,6056,0.0,PENDING_BREAKOUT,EMA10 PULLBACK,41.28,39.80,44.24,46.45
KCPSUGIND,57,PULLBACK_EMA10,Grade A,1,PB: 3.4% Risk,37.0%,30.489999771118164,30.489999771118164,0.97%,PULLBACK READY,30.489999771118164,29.44114886796666,1.0488509031515036,8199,0.0,PENDING_BREAKOUT,EMA10 PULLBACK,30.49,29.44,32.59,34.16
ORIENTELEC,55,PULLBACK_EMA10,Grade A,1,PB: 3.6% Risk,36.2%,187.3099975585937,187.3099975585937,1.10%,PULLBACK READY,187.3099975585937,180.63635984868594,6.6736377099077515,1334,0.0,PENDING_BREAKOUT,EMA10 PULLBACK,187.31,180.64,200.66,210.67
PCBL,52,PULLBACK_EMA50,Grade A,1,PB: 3.0% Risk,33.3%,309.79998779296875,309.79998779296875,-0.59%,PULLBACK READY,309.79998779296875,300.50598815917965,9.293999633789099,806,0.0,PENDING_BREAKOUT,EMA50 PULLBACK,309.80,300.51,328.39,342.33
BALRAMCHIN,38,PULLBACK_EMA10,Grade C,1,PB: 3.0% Risk,95.7%,624.8499755859375,624.8499755859375,0.10%,PULLBACK READY,624.8499755859375,606.1044763183594,18.74549926757811,400,0.0,PENDING_BREAKOUT,EMA10 PULLBACK,624.85,606.10,662.34,690.46
JSWSTEEL,31,PULLBACK_EMA20,Grade C,1,PB: 3.0% Risk,82.8%,1270.0,1270.0,-0.43%,PULLBACK READY,1270.0,1231.8999999999999,38.100000000000136,196,0.0,PENDING_BREAKOUT,EMA20 PULLBACK,1270.00,1231.90,1346.20,1403.35
