Industry,Sector,Zone,Total_Stocks,Category,Streak_Days,Failure_Days,Breadth,Breadth_Change,Flow,Flow_Val,Part_Change,EMA20_Participation_Today,EMA20_Participation_Change,SMA50_Participation_Today,SMA50_Participation_Change,SMA200_Participation_Today,SMA200_Participation_Change,RS_Participation_Today,RS_Participation_Change,Near52WH_Participation_Today,Near52WH_Participation_Change,Avg_Return_Today,Avg_Return_10D,Net_Flow_Pct,Net_Flow_Score_Scaled,Pocket_Pivot_Pct,Explanation,Stocks,Stock_Details,Sort_Score
Steel,Others,Avoid,1,Avoid,0,0,100.0,0.0,-100.0,-100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,-0.6822582370532138,11.496683911463949,-100.0,0.0,100.0,Repeat run on same trading session date. State preserved.,['AEROENTER'],"[{'Symbol': 'AEROENTER', 'Company_Name': 'Aeroflex Enterprises Limited', 'Industry': 'Steel', 'Price': 142.66000366210938, 'Dist_52WH': 4.607154295586256, 'Rank_Score': 14.539284570441374, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -0.6822582370532138, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 1, 'Pocket_Pivot': 0, 'RS_D': 94, 'RS_W': 90, 'SMA200_Rising': 1}]",21.496683911463947
Zinc,Others,Avoid,1,Avoid,0,0,0.0,0.0,-100.0,-100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-2.61772137495012,8.578029734406382,-100.0,0.0,100.0,Repeat run on same trading session date. State preserved.,['HINDZINC'],"[{'Symbol': 'HINDZINC', 'Company_Name': 'Hindustan Zinc Ltd.', 'Industry': 'Zinc', 'Price': 610.0999755859375, 'Dist_52WH': 15.24596591909249, 'Rank_Score': 2.475403408090751, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -2.61772137495012, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 0, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 37, 'RS_W': 14, 'SMA200_Rising': 1}]",18.578029734406382
Drug Manufacturers - Specialty & Generic,Others,Avoid,3,Avoid,0,0,100.0,0.0,-100.0,-100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.66666666666666,-33.33333333333334,33.33333333333333,0.0,-1.3430487794165213,6.389309842084178,-100.0,0.0,33.33333333333333,Repeat run on same trading session date. State preserved.,"['ALIVUS', 'GUJTHEM', 'COHANCE']","[{'Symbol': 'ALIVUS', 'Company_Name': 'Alivus Life Sciences Limited', 'Industry': 'Drug Manufacturers - Specialty & Generic', 'Price': 1358.199951171875, 'Dist_52WH': 4.217210777723907, 'Rank_Score': 14.578278922227609, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -0.191071249482179, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 1, 'Pocket_Pivot': 0, 'RS_D': 87, 'RS_W': 83, 'SMA200_Rising': 1}, {'Symbol': 'GUJTHEM', 'Company_Name': 'Gujarat Themis Biosyn Limited', 'Industry': 'Drug Manufacturers - Specialty & Generic', 'Price': 412.2000122070313, 'Dist_52WH': 13.945717702081147, 'Rank_Score': 5.605428229791885, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -2.032082660242114, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 44, 'RS_W': 42, 'SMA200_Rising': 0}, {'Symbol': 'COHANCE', 'Company_Name': 'Unknown', 'Industry': 'Drug Manufacturers - Specialty & Generic', 'Price': 454.0, 'Dist_52WH': 56.29993364798936, 'Rank_Score': 4.370006635201063, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -1.805992428525272, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 1, 'Pocket_Pivot': 0, 'RS_D': 54, 'RS_W': 62, 'SMA200_Rising': 0}]",16.389309842084177
Other Non-Ferrous Metals,Others,Avoid,2,Avoid,0,0,50.0,0.0,-100.0,-100.0,0.0,100.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,-0.5414875986845755,2.8082131743709065,-100.0,0.0,100.0,Repeat run on same trading session date. State preserved.,"['GRAVITA', 'POCL']","[{'Symbol': 'GRAVITA', 'Company_Name': 'Gravita India Ltd.', 'Industry': 'Other Non-Ferrous Metals', 'Price': 1824.5, 'Dist_52WH': 4.656144268535288, 'Rank_Score': 14.534385573146471, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -0.8585583007611303, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 1, 'Pocket_Pivot': 0, 'RS_D': 67, 'RS_W': 59, 'SMA200_Rising': 1}, {'Symbol': 'POCL', 'Company_Name': 'Pondy Oxides & Chemicals Ltd.', 'Industry': 'Other Non-Ferrous Metals', 'Price': 511.2999877929688, 'Dist_52WH': 21.046941465624172, 'Rank_Score': -0.10469414656241716, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -0.22441689660802075, 'Above_EMA20': 1, 'Above_SMA50': 0, 'Above_SMA200': 0, 'Stacked': 0, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 30, 'RS_W': 17, 'SMA200_Rising': 0}]",12.808213174370906
"Furnishings, Fixtures & Appliances",Others,Avoid,1,Avoid,0,0,100.0,0.0,-100.0,-100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,-2.227955003748495,0.8100607429331382,-100.0,0.0,0.0,Repeat run on same trading session date. State preserved.,['BOSCH-HCIL'],"[{'Symbol': 'BOSCH-HCIL', 'Company_Name': 'Bosch Home Comfort India Limited', 'Industry': 'Furnishings, Fixtures & Appliances', 'Price': 1667.5999755859375, 'Dist_52WH': 7.442969374490753, 'Rank_Score': 14.255703062550925, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -2.227955003748495, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 1, 'Pocket_Pivot': 0, 'RS_D': 77, 'RS_W': 86, 'SMA200_Rising': 0}]",10.810060742933139
Exploration & Production,Others,Avoid,4,Avoid,0,0,25.0,0.0,-56.614911604150144,-56.614911604150144,0.0,75.0,0.0,75.0,25.0,75.0,0.0,0.0,-25.0,25.0,0.0,0.7807721289788868,3.278083859488875,-56.614911604150144,21.692544197924928,0.0,Repeat run on same trading session date. State preserved.,"['JINDRILL', 'OIL', 'HINDOILEXP', 'ONGC']","[{'Symbol': 'JINDRILL', 'Company_Name': 'Jindal Drilling & Industries Ltd.', 'Industry': 'Exploration & Production', 'Price': 630.5499877929688, 'Dist_52WH': 9.07714667729362, 'Rank_Score': 11.092285332270638, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -0.300422859892448, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 38, 'RS_W': 44, 'SMA200_Rising': 1}, {'Symbol': 'OIL', 'Company_Name': 'Oil India Ltd.', 'Industry': 'Exploration & Production', 'Price': 469.8500061035156, 'Dist_52WH': 11.516006383518715, 'Rank_Score': 2.8483993616481285, 'Is_New': False, 'New_Reason': '', 'Change': 'up', 'Ret_Today': 0.1492086147582268, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 0, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 26, 'RS_W': 35, 'SMA200_Rising': 1}, {'Symbol': 'HINDOILEXP', 'Company_Name': 'Hindustan Oil Exploration Company Ltd.', 'Industry': 'Exploration & Production', 'Price': 163.42999267578125, 'Dist_52WH': 13.368673223780656, 'Rank_Score': 2.6631326776219346, 'Is_New': False, 'New_Reason': '', 'Change': 'up', 'Ret_Today': 3.364741031492593, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 0, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 28, 'RS_W': 35, 'SMA200_Rising': 0}, {'Symbol': 'ONGC', 'Company_Name': 'Oil And Natural Gas Corporation Ltd.', 'Industry': 'Exploration & Production', 'Price': 232.0, 'Dist_52WH': 24.552845528455283, 'Rank_Score': -2.4552845528455283, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -0.09043827044282424, 'Above_EMA20': 0, 'Above_SMA50': 0, 'Above_SMA200': 0, 'Stacked': 0, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 8, 'RS_W': 5, 'SMA200_Rising': 1}]",10.778083859488875
Electronic Components,Others,Avoid,5,Avoid,0,0,40.0,0.0,54.838639441275014,54.838639441275014,0.0,60.0,0.0,80.0,20.0,80.0,0.0,40.0,0.0,40.0,0.0,1.2561958646115392,3.8040388972349604,54.838639441275014,77.4193197206375,40.0,Repeat run on same trading session date. State preserved.,"['CYIENTDLM', 'MARINE', 'HIRECT', 'MICEL', 'CENTUM']","[{'Symbol': 'CYIENTDLM', 'Company_Name': 'Cyient DLM Ltd.', 'Industry': 'Electronic Components', 'Price': 810.4000244140625, 'Dist_52WH': 0.4728247572536076, 'Rank_Score': 14.95271752427464, 'Is_New': False, 'New_Reason': '', 'Change': 'up', 'Ret_Today': 1.5666123095032323, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 1, 'Pocket_Pivot': 0, 'RS_D': 98, 'RS_W': 97, 'SMA200_Rising': 1}, {'Symbol': 'MARINE', 'Company_Name': 'Marine Electricals (India) Ltd.', 'Industry': 'Electronic Components', 'Price': 374.1000061035156, 'Dist_52WH': 5.2911376953125, 'Rank_Score': 14.47088623046875, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -0.38609552298867866, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 1, 'High_RS': 1, 'Pocket_Pivot': 0, 'RS_D': 95, 'RS_W': 95, 'SMA200_Rising': 1}, {'Symbol': 'HIRECT', 'Company_Name': 'Hind Rectifiers Ltd.', 'Industry': 'Electronic Components', 'Price': 1223.0, 'Dist_52WH': 12.48894623474375, 'Rank_Score': 0.751105376525625, 'Is_New': False, 'New_Reason': '', 'Change': 'down', 'Ret_Today': -1.9088905915984535, 'Above_EMA20': 0, 'Above_SMA50': 1, 'Above_SMA200': 1, 'Stacked': 0, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 60, 'RS_W': 85, 'SMA200_Rising': 1}, {'Symbol': 'MICEL', 'Company_Name': 'MIC Electronics Ltd.', 'Industry': 'Electronic Components', 'Price': 39.56999969482422, 'Dist_52WH': 52.3080642248436, 'Rank_Score': -1.2308064224843598, 'Is_New': False, 'New_Reason': '', 'Change': 'up', 'Ret_Today': 4.988063509195728, 'Above_EMA20': 1, 'Above_SMA50': 1, 'Above_SMA200': 0, 'Stacked': 0, 'High_RS': 0, 'Pocket_Pivot': 1, 'RS_D': 17, 'RS_W': 4, 'SMA200_Rising': 0}, {'Symbol': 'CENTUM', 'Company_Name': 'Centum Electronics Ltd.', 'Industry': 'Electronic Components', 'Price': 3401.89990234375, 'Dist_52WH': 14.283918048523624, 'Rank_Score': -1.4283918048523625, 'Is_New': False, 'New_Reason': '', 'Change': 'up', 'Ret_Today': 2.021289618945869, 'Above_EMA20': 0, 'Above_SMA50': 0, 'Above_SMA200': 1, 'Stacked': 0, 'High_RS': 0, 'Pocket_Pivot': 0, 'RS_D': 24, 'RS_W': 61, 'SMA200_Rising': 1}]",9.80403889723496
